epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,42.702,2.41414,2.80887,0.38845,1.31863,0.03633,2.1284,0.99503,0.92308,0.97853,0.80444,0.97514,0.84615,0.845,0.68528,0.68343,2.09053,0.27461,0.3642,0.01151,0,0.000444444,0.000444444,0.000444444
2,68.7818,2.17277,5.23699,0.2992,1.39616,0.02982,6.8095,0.99519,0.92308,0.93922,0.35561,0.79998,0.69231,0.64949,0.12925,2.2839,4.59391,0.28492,0.75385,0.03657,0,0.00109736,0.00109736,0.00109736
3,92.9411,1.86759,5.73751,0.30943,0.98542,0.02689,8.20195,0.99519,0.92308,0.93922,0.35561,0.79998,0.69231,0.64949,0.12925,2.2839,4.59391,0.28492,0.75385,0.03657,0,0.00173378,0.00173378,0.00173378
4,120.627,2.06637,5.78729,0.35199,1.22234,0.02996,7.84113,0.05881,0.23077,0.02094,0.00284,0.06876,0.15385,0.01731,0.009,3.40003,6.6943,0.44416,3.32429,0.06468,0,0.00192575,0.00192575,0.00192575
5,145.001,2.56756,6.17432,0.41195,2.06862,0.03244,7.11987,0.05881,0.23077,0.02094,0.00284,0.06876,0.15385,0.01731,0.009,3.40003,6.6943,0.44416,3.32429,0.06468,0,0.001901,0.001901,0.001901
6,169.83,2.69138,6.18045,0.39605,1.82994,0.03911,7.92966,0.23223,0.58226,0.20715,0.05683,0.1696,0.15385,0.05464,0.01562,2.30348,5.83747,0.54678,2.57768,0.04171,0,0.00187625,0.00187625,0.00187625
7,194.465,2.02677,6.39539,0.56525,1.70463,0.02665,7.53283,0.23223,0.58226,0.20715,0.05683,0.1696,0.15385,0.05464,0.01562,2.30348,5.83747,0.54678,2.57768,0.04171,0,0.0018515,0.0018515,0.0018515
8,219.817,2.03681,6.41175,0.55973,1.74396,0.02515,7.54871,0.23223,0.58226,0.20715,0.05683,0.1696,0.15385,0.05464,0.01562,2.30348,5.83747,0.54678,2.57768,0.04171,0,0.00182675,0.00182675,0.00182675
9,245.615,1.63953,5.94172,0.50078,1.49315,0.02434,7.45949,0.27743,0.53846,0.33926,0.11537,0.25243,0.30769,0.22665,0.07157,1.8262,5.29286,0.60226,2.28523,0.03375,0,0.001802,0.001802,0.001802
10,271.555,1.80964,5.81009,0.42682,1.65861,0.02482,6.44001,0.27743,0.53846,0.33926,0.11537,0.25243,0.30769,0.22665,0.07157,1.8262,5.29286,0.60226,2.28523,0.03375,0,0.00177725,0.00177725,0.00177725
11,297.368,1.57066,5.43906,0.40937,1.22641,0.01957,6.06543,0.26739,0.59018,0.37435,0.12406,0.24217,0.46154,0.27302,0.08675,1.73979,5.38932,0.60869,2.5828,0.02962,0,0.0017525,0.0017525,0.0017525
12,323.136,1.73645,5.40348,0.39786,1.20805,0.02778,7.44981,0.26739,0.59018,0.37435,0.12406,0.24217,0.46154,0.27302,0.08675,1.73979,5.38932,0.60869,2.5828,0.02962,0,0.00172775,0.00172775,0.00172775
13,348.895,1.70444,5.43536,0.40411,1.43031,0.02439,6.8609,0.62006,0.46154,0.5075,0.18067,0.45817,0.30769,0.36348,0.08035,2.08756,5.15991,0.57185,2.33426,0.038,0,0.001703,0.001703,0.001703
14,374.163,1.39614,4.97989,0.34041,1.13895,0.01737,5.73399,0.62006,0.46154,0.5075,0.18067,0.45817,0.30769,0.36348,0.08035,2.08756,5.15991,0.57185,2.33426,0.038,0,0.00167825,0.00167825,0.00167825
15,399.119,1.46473,5.12326,0.33765,1.2559,0.01864,6.42813,0.62006,0.46154,0.5075,0.18067,0.45817,0.30769,0.36348,0.08035,2.08756,5.15991,0.57185,2.33426,0.038,0,0.0016535,0.0016535,0.0016535
